Document name,Coded Segments,Codes,Var1,Var2 ,Polarity,Comments
Ackert et al_2020_Countering tobacco industry tactics on the eco,"Since menthol reflects about one-quarter of ciga?rette sales in Minnesota, we calculated a loss of ??US$1519/month per store and projected annual ??profit losses of US$6233976 for Minneapolis and ??US$4737280 for Saint Paul, respectively (figure 1). ??These projections contrast sharply with tobacco ??industry estimates of financial losses of at least six ??times greater.","Menthol Flavor Ban
- (O)
Convenience store sales
Agree",Menthol Flavor Ban,Convenience store sales,- (O), 
Asare et al_2022_Association of Cigarette Sales With Comprehensi,"After the flavor ban, ?the adjusted 4-week sales of cigarettes in Massachusetts vs the ?comparison states decreased by 372.27 (95% CI, ?428.90 to ??315.64; P ","Comprehensive Flavored tobacco ban
- (O)
Menthol Cigarette sales (+) (+) (+)
Agree",Comprehensive Flavored tobacco ban,Menthol Cigarette sales (+) (+) (+),- (O),"""After the flavor ban, the adjusted 4-week sales of cigarettes in Massachusetts vs the comparison states decreased by 372.27 (95% CI, ?428.90 to ?315.64; P "
Asare et al_2022_Association of Cigarette Sales With Comprehensi,"but increased by 120.25 (95% CI, 72.61-167.88; P ","Comprehensive Flavored tobacco ban
+(S)
Sales of non flavored cigarettes
Agree",Comprehensive Flavored tobacco ban,Sales of non flavored cigarettes,+(S),"""After the flavor ban, the adjusted 4-week sales of cigarettes in Massachusetts vs the comparison states decreased by 372.27 (95% CI, ?428.90 to ?315.64; P "
Asare et al_2022_Association of Cigarette Sales With Comprehensi,"Overall, ?the adjusted 4-week sales of all cigarettes decreased by 282.65 ?(95% CI, ?356.07 to ?209.23; P ","Comprehensive Flavored tobacco ban
- (O)
Total cigarette sales (+)
Agree",Comprehensive Flavored tobacco ban,Total cigarette sales (+),- (O), 
Asare et al_2023_Association of Comprehensive Menthol Flavor Ban,"6 Compared ?with comparison states, the ban was associated with a de?cline in current cigarette smoking inMassachusetts by 1.0 (95% ?CI, ?1.4 to ?0.7; P ","Menthol Flavor Ban
- (O)
Current Cigarette smoking (+) (+)
Agree",Menthol Flavor Ban,Current Cigarette smoking (+) (+),- (O), 
Asare et al_2023_Association of Comprehensive Menthol Flavor Ban,Changes in current cigarette smoking in Massachusetts af?ter the ban differed between males and females (?14.4% vs ??9.3%; P ,"Being Female (vs. Male) (+) (+) (+) (+) (+) (+) (+)
+(S)
Current cigarette smoking post-menthol flavor ban (+)
Agree",Being Female (vs. Male) (+) (+) (+) (+) (+) (+) (+),Current cigarette smoking post-menthol flavor ban (+),+(S), 
Asare et al_2023_Association of Comprehensive Menthol Flavor Ban,age ?group (25-64 years: ?8.3%; ?65 years: ?8.6%;P = .84,"age (25-64 vs. 65+)
=
Current cigarette smoking post-menthol flavor ban (+)
Agree",age (25-64 vs. 65+),Current cigarette smoking post-menthol flavor ban (+),=,"""However, no significant difference was observed by ... age group (25-64 years: ?8.3%; ?65 years: ?8.6%;P = .84)...(Table 2)"""
Asare et al_2023_Association of Comprehensive Menthol Flavor Ban,or among ?males by race and ethnicity (Black: ?56.8%; Hispanic: ?27.2%; ?White: ?6.1%; other: ?9.5%;P = .88,"Male Races/Ethnicities
=
Current cigarette smoking post-menthol flavor ban (+)
Agree",Male Races/Ethnicities,Current cigarette smoking post-menthol flavor ban (+),=,"""However, no significant difference was observed ... among males by race and ethnicity (Black: ?56.8%; Hispanic: ?27.2%; White: ?6.1%; other: ?9.5%;P = .88) (Table 2)"""
Asare et al_2023_Association of Comprehensive Menthol Flavor Ban,Changes did dif?fer significantly by female race and ethnicity. Smoking in?creased among Black females (58.6%; P ,"Being Black Female
+(S)
Current cigarette smoking post-menthol flavor ban (+)
Agree",Being Black Female,Current cigarette smoking post-menthol flavor ban (+),+(S), 
Asare et al_2023_Association of Comprehensive Menthol Flavor Ban,remained ?unchanged among White females (?2.0%; P = .32),"Being White Female
=
Current cigarette smoking post-menthol flavor ban (+)
Agree",Being White Female,Current cigarette smoking post-menthol flavor ban (+),=,"""Changes did differ significantly by female race and ethnicity. Smoking increased among Black females (58.6%; P "
Asare et al_2023_Association of Comprehensive Menthol Flavor Ban,and other ?racial groups (25.8%; P = .17),"Being Female and Other Racial Group (not hisp., Black, white)
=
Current cigarette smoking post-menthol flavor ban (+)
Agree","Being Female and Other Racial Group (not hisp., Black, white)",Current cigarette smoking post-menthol flavor ban (+),=,"""Changes did differ significantly by female race and ethnicity. Smoking increased among Black females (58.6%; P "
